English,Igbo
the,oseihe nwoke
of,nke
to,ka
and,na
a,a
in,n'ime
is,ibu
it,ya
you,gi
that,nkaa
he,ya
was,bu
for,nke
on,inwu
are,ibu
with,na
as,di ka
I,Ice
his,ya
they,ha
be,ibu
at,na
one,otu
have,inwe
this,nke a
from,site na
or,ma ọ bụ
had,inwe
by,site
not,adighi
word,mkpuruokwu
but,mana
what,Kedu
some,ufodu
we,anyi
can,inwe ike
out,anoghi
other,nke ozo
were,nọ
all,dum
there,Ebe ahụ
when,mgbe ole
up,elu
use,mwere
your,nke gi
how,Kedu
said,achicha kwuru
an,onye
each,otu n'ime
she,o
which,nke
do,ime
their,nke
time,oge
if,o buru na
will,uche
way,uzo
about,maka
many,keotutu
then,mgeahu
them,ha
write,ide dee
would,ga-
like,di ka
so,so
these,ndi a
her,ya
long,keogologo
make,ime
thing,ihe
see,ile
him,ya
two,abuo
has,inwe
look,ile anya
more,Ọzọ
day,isi ututu
could,ikwere
go,iga
come,bia
did,mere
number,onuogugu
sound,uda
no,mba
most,ufodu
people,ndi mmadu
my,nke m
over,foduru
know,ima ihe
water,mmiri
than,ka
call,okpukpo
first,kembu
who,WHO
may,mee
down,ala
side,akuku
been,ibu
now,ugbua
find,icho
any,keobula
new,ohuru
work,oru
part,nkewa
take,iburu
get,inwe
place,dowe
made,mere
live,kendu
where,ebe
after,nsote
back,azu
little,keobere
only,so
round,gburugburu
man,nwoke
year,afo
came,bia
show,izi
every,obula
good,keoma
me,mu
give,inye
our,nke anyi
under,n'okpuru
name,aha
very,ukwu
through,truu
just,sonso
form,odidi
sentence,ahiriokwu
great,keuwu
think,icho
say,kwuoo
help,Enyemaka
low,kediala
line,akara
differ,iche
turn,okporouzo
cause,mkpatara
much,ukwuu
mean,putara
before,tupu
move,inoghari
right,nke imete
boy,nwata nwoke
old,ika nka
too,kwa
same,nke ibuotu
tell,ikuzi
does,ime
set,set
three,ato
want,icho
air,ikuku
well,mmezi mma
also,nakwa
play,gwuria
small,nke ntakiri
end,nkwusi
put,dote
home,ulo
read,guo
hand,aka
port,onu mmiri
large,keibu
spell,kpoo
add,igbako
even,kwa
land,nlodata
here,Ebe a
must,ga
big,nnukwu
high,keelu
such,dika
follow,iso
act,ime emume
why,gini
ask,iju
men,nwoke
change,igbanwe
went,jere
light,kemfe
kind,keobioma
off,igbanyu
need,mkpa
house,ulo
picture,esemese
try,trai
us,anyi
again,ozo
animal,anu ohia
mother,nne
world,eluuwa
near,nso
build,iru
self,nke onye
earth,ala
father,nna
head,isi
stand,guzo
own,nke
page,ihuakwukwo
should,ga
country,obodo
found,ahuru
answer,iza
school,uloakwukwo
grow,ibu ibu
study,imu
still,stiif
learn,imu ihe
plant,kuo
cover,mkpuchi
food,nri
sun,anwu
four,ano
between,n'etiti
state,onodu
keep,idebe
eye,anya
never,emeghi
last,keikpeazu
let,ikwere
thought,uche
city,obodo
tree,osisi
cross,uhie
farm,oru ubi
hard,siri ike
start,ibido inya moto
might,ike
story,akukoifo
saw,ikwo
far,kento aka
sea,osimiri
draw,ise
left,keekpe
late,abiaghi n'oge
run,igbaoso
don't,ejikwala
while,mgbe
press,nke edere ede
close,mechie
night,uchichi
real,nke anyahuru
life,ndu
few,obere
north,ugwu
open,meghe
seem,idika
together,otuebe
next,Osote
white,ucha
children,umuaka
begin,ibido
got,inwe
walk,iga
example,omuma atu
ease,mfe
paper,akwukwo
group,otu
always,mgbe dum
music,uneghune
those,ndi ahu
both,ha abuo
mark,akara
often,otutu mgbe
letter,leta
until,tutuu
mile,maili
river,osimiri
car,obere ugboala
feet,ukwu
care,nlezi
second,sekon
book,akwukwo
carry,ibu
took,were
science,sayensi
eat,iri
friend,enyi
began,bido
idea,echiche
fish,azu
mountain,ugwu
stop,Kwụsị
once,otu mgbe
base,isi
hear,inu ihe
horse,inyinya
cut,igbuji
sure,nke ndabere
watch,mgbe
color,agba
face,ihu
wood,osisi
main,keisi
enough,izu oke
plain,nke esighi ike nighota
girl,nwata nwaanyi
usual,otutu mgbe
young,keetghieto
ready,ke njikere
above,karia
ever,mgbedum
red,uhie
list,ilisti
though,doo
feel,imetuta
talk,ikwu
bird,nunu
soon,ogeeteghianya
body,ahu
dog,nkita
family,ezi na ulo
direct,izi uzo
pose,posu
leave,ipa ihapu
song,abu
measure,mesho
door,uzo
product,ihe emeputara ohuru
black,oji
short,mkpirisi
numeral,onuogugu
class,udi
wind,ufereoyi
question,ajuju
happen,ime eme
complete,imecha
ship,ship
area,uzo
half,keokara
rock,okute
order,usoro oru
fire,oku
south,ndida
problem,nsogbu
piece,ibe
told,gosiri
knew,mara
pass,gaa njem
since,kemgbe
top,elu ugwu
whole,keuju
king,eze
space,eluuwa
heard,nuru
best,okacka mma
hour,oge
better,nke ka mma
TRUE,Ke eziokwu
during,n'oge
hundred,nari
five,ise
remember,icheta
step,izo
early,n'oge
hold,ijide
west,odida anyanwu
ground,ala
interest,mmasi
reach,rute
fast,osooso
verb,ngwaa
sing,ibu
listen,ige nti
six,isii
table,okpokoro
travel,ijenjem
less,Mpekarị
morning,ututu
ten,iri
simple,nke enweghiaghugho
several,otutu
vowel,udaume
toward,iji
war,agha
lay,iyi akwa
against,mbuso
pattern,nsoro
slow,emesighiiheike
center,etiti
love,ihunaanya
person,onye
money,ego
serve,ijeozi
appear,iputa
road,okporouzo
map,maapu
rain,mmiri ozuzo
rule,iwu
govern,ichi achu
pull,Dọọ
cold,oyi
notice,nkwuputa
voice,olu
unit,unit
power,ike
town,obodo
fine,iwu
certain,keamaaama
fly,ife efe
fall,ida ada
lead,izizi
cry,akwa
dark,itiri
machine,machiini
note,dee
wait,chere
plan,plan
figure,odidi ahu
star,kpakpondo
box,akpati
noun,aha
field,fiilidi
rest,nzuike
correct,imaaki
able,inwe ike
pound,suo suo
done,emela
beauty,mma
drive,inya
stood,guzoro
contain,ijido
front,keihu
teach,izi
week,wiik
final,nke ikpeazu
gave,nyere
green,griin
oh,ooh
quick,ngwa
develop,imepe
ocean,osimiri
warm,keikpo oku
free,inwere enwe
minute,nke ntakiri
strong,ike
mind,uche
behind,azu
clear,agwa idiocha
tail,odudu
produce,mepụta
fact,mmereme
street,striit
inch,inch
multiply,mubaa
nothing,ihe efu
course,koosu
stay,nodu
wheel,wiil
full,juju
force,ike ike
blue,bluu
object,iju
decide,ikpebi
surface,elu
deep,keomimi
moon,onwa
island,nno na mmiri
foot,ukwu
system,sistem
busy,keigbambo
test,inwa
record,ndeko ego
boat,ugbo mmiri
common,komon
gold,gooldu
possible,ipu omume
plane,plane
stead,rida
dry,okponku
wonder,ntunnanya
laugh,ichi ochi
thousand,puku
ago,oge gara aga
ran,gbaa
game,egwuruegwu
shape,udi
equate,ohiha
hot,oku
miss,igafe ihe
brought,welie
heat,ekpomooku
snow,sinoo
tire,ngwumike
bring,iwete
yes,okwukwe
distant,kentoanya
fill,imeju
east,owuwa anyanwu
paint,agba
language,asusu
among,n'etiti
grand,kwa
ball,bowi
yet,ma
wave,fee
drop,idebe
heart,obi
am,bu
present,ino mgbe ihe mere
heavy,kedi aru
dance,egwu
engine,enjin
position,okwa
arm,mpata ukwu
wide,obodobo
sail,napu ugbo
material,mgwooru
size,saiz
vary,igbanwe
settle,idozi
speak,kwuo
weight,aro
general,jenaral
ice,ais
matter,okwu
circle,gburugburu
pair,abuo
include,isonye
divide,ike
syllable,syllable
felt,obi
perhaps,eleghi anya
pick,ghota
sudden,nke mberede
count,igu onu
square,skware
reason,ucheobi
length,ogologo
represent,inochi
art,nka
subject,sobjekiti
region,obodo
energy,ike
hunt,ichu nta
probable,puru omume
bed,akwa
brother,nwanne nwoke
egg,akwa
ride,okwukwo moto
cell,seelu
believe,ikwe ekwe
fraction,ngaazu
forest,ohia
sit,inodu
race,oso
window,windo
store,storaji
summer,soma
train,tren
sleep,ura
prove,ziputa
lone,ime
leg,ukwu
exercise,igbati ahu
wall,mgbaaja
catch,gbute
mount,ugwu
wish,chee
sky,eluigwe
board,iba
joy,obiuto
winter,winta
sat,sat
written,nke edere
wild,azughiazu
instrument,nkwa egwu
kept,derara
glass,glaasi
grass,ahihia
cow,ehi
job,oru
edge,onu
sign,ruaka
visit,obia
past,agafego
soft,juu
fun,anuru
bright,nchapu
gas,gaasi
weather,udidiubochi
month,otu onwa n'ime ato
million,nde
bear,biya
finish,imecha
happy,keobi anuri
hope,nchekwube
flower,fulawa
clothe,ikwa akwa
strange,nke mgbagojuanya
gone,aga
jump,ima elu
baby,nwata
eight,asato
village,vileji
meet,zuko
root,mgborogwu
buy,izu
raise,inako ego
solve,isa
metal,metal
whether,ma
push,Kwaa
seven,Asaa
paragraph,amaokwu
third,nke ato
shall,ga
held,keegosi
hair,aji ahu
describe,ikowa
cook,isi nri
floor,ala ulo
either,ma obu
result,rizootu
burn,ire
hill,ugwu
safe,nkeenweghinsogbu
cat,pusi
century,nariafo
consider,itule
type,udi
law,iwu
bit,igwe inyinya
coast,akuku mmiri
copy,kopi
phrase,nkebokwu
silent,nke ekwughiokwu
tall,ogologo
sand,aja
soil,ala
roll,rolu pepa
temperature,temperacho
finger,mkpisi aka
industry,ndostri
value,baa uru
fight,ogu
lie,imakpu
beat,uda
excite,amaghi ka odi
natural,eke
view,ucheobi
sense,uche
ear,nti
else,ozo
quite,ezi
broke,keukpa
case,akpati
middle,etiti
kill,igbu
son,nwanwoke
lake,leeki
moment,ogenta
scale,nha
loud,keuzu
spring,spring
observe,leruoanya
child,nwata
straight,Kwụ ọtọ
consonant,mgbochiume
nation,ala
dictionary,nkowaokwu
milk,mmiri ara
speed,ngwangwa
method,nka imeihe
organ,ogan ahu
pay,ugwo
age,igba afo
section,ngalaba
dress,inyi akwa
cloud,urupuru
surprise,mberede
quiet,ida juu
stone,okute
tiny,kentakiri
climb,inyielu
cool,kenwayo
design,imewe
poor,emezighi
lot,otutu
experiment,eksperimenti
bottom,ukwu
key,kii
iron,igwe
single,otu
stick,mkpisi
flat,ohiha
twenty,iri abuo
skin,anuahu
smile,ichi
crease,itetosi
hole,onu
trade,izu ahia
melody,oluegwu
trip,njem
office,onodu
receive,naputa
row,ahiri
mouth,onu
exact,kpom kwem
symbol,adimara
die,inwu
least,kacha peempe
trouble,nsogbu
shout,itimkpu
except,na beluso
wrote,dere
seed,mkuruosisi
tone,udaolu
join,iso
suggest,ịkwaego
clean,nkeocha
break,ezumike
lady,agboghobia
yard,yad
rise,ibili
bad,ajo
blow,igbu
oil,ite mmanu
blood,obara
touch,imetuaka
grew,toro
cent,mkpi
mix,gwakota
team,tim
wire,waya
cost,ida onu
lost,kemfulahu
brown,brawu
wear,yiri
garden,gadin
equal,nhara
sent,zitere
choose,ihoro
fell,daa
fit,ima mma
flow,igba
fair,ditu mma
bank,ulo aku
collect,iweta
save,zoputa
control,ike nchikota
decimal,vimalin
gentle,keumeala
woman,nwaanyi
captain,onya ugbo
practice,omume
separate,nke iweputa
difficult,isiike
doctor,dibia bekee
please,Biko
protect,chegide
noon,ehihie
whose,onye
locate,ichoputa
ring,igbaolaka
character,agwa
insect,ahuhu
caught,jidesie
period,oge
indicate,igosi
radio,redio
spoke,kwuru
atom,aatom
human,mmadu
history,aguguala
effect,mputara
electric,eletiriiki
expect,n'obi
crop,akuku
modern,nke ugbua
element,mmewere
hit,iti
student,nwaakwuko nwoke
corner,akuku
party,otu
supply,mbunyeiheahia
bone,okpukpu
rail,okporo uzo ugboigwe
provide,weta
agree,ikwere
thus,dos
capital,ego
won't,agaghi
chair,oche
danger,Ihe egwu
fruit,mkpuru osisi
rich,uba
thick,keakwuliko
soldier,ami
process,otu esi emeputa ihe
operate,igwo
guess,iche eche
necessary,idi mkpa
sharp,nke dinko
wing,nkunnunu
create,ike
neighbor,onyeagbataobi
wash,suo
bat,usu
rather,msorobi
crowd,igwurube mmadu
corn,ọka
compare,itulerita
poem,abu
string,eriri
bell,mgbirigba
depend,idabe
meat,anu anu
rub,tee
tube,tub
famous,keomuma
dollar,dollar
stream,iyi
fear,ujo
sight,anya
thin,girigiri
triangle,triangul
planet,planet
hurry,me osooso
chief,chiifu
colony,ochichi ike
clock,klook
mine,ogbunigwe ndisoja na-eli
tie,tie
enter,iba
major,mejo
fresh,ohuru
search,ochucho
send,zipu
yellow,odoodo
gun,egbe
allow,ikwere
print,deputa
dead,onwu
spot,ntupo
desert,ikpa
suit,uwe
current,korenti mmiri
lift,inwego
rose,okookoosisi rosu
continue,isochi
block,mgbochi
chart,chaati
hat,okpu
sell,ree
success,oganihu
company,nsoro
subtract,iwepu wepu
event,mmeeme
particular,igbaiche
deal,mmesiike
swim,gwuo
term,tem
opposite,nke ozo
wife,nwunye
shoe,akpukpoukwu
shoulder,ubuaka
spread,kesaa
arrange,ikwado
camp,kampu
invent,cheputa
cotton,kotin
born,keomumu
determine,igba mbo
quart,rịanụ
nine,toolu
truck,trok
noise,mkpotu
level,ukelarii
chance,oge
gather,zukota
shop,shop
stretch,igbati
throw,itu
shine,onwunwu
property,aku
column,nkwadoulo
molecule,molekule
select,ighoputa
wrong,keadabaghi
gray,awo
repeat,imekwa
require,icho
broad,n'uju
prepare,jikere
salt,nnu
nose,imi
plural,idi otutu
anger,iwe
claim,Mgbarakwa
continent,kontinenti
oxygen,oksigin
sugar,suga
death,onwu
pretty,ima mma
skill,nka
season,sizen
solution,osisa
magnet,magnet
silver,silva
thank,ikele
branch,mpalaga osisi
match,iha aha
suffix,njuputa
especially,tumadu
fig,fig
afraid,keujo
huge,ibu
sister,nwannenwaanyi
steel,stiil
discuss,ikpa maka
forward,n'ihu
similar,iyi
guide,izi ozizi
experience,ahumihe
score,Akara
apple,apụl
bought,zuo
led,dudu
pitch,okwa olu
coat,ahuanu
mass,uka
card,kaadi
band,bandi
rope,eriri
slip,slipu
win,imeri
dream,iro nro
evening,mgbede
condition,onodu
feed,oriri
tool,ngwa oru
total,kemgbakota
basic,nke nkiti
smell,isi
valley,ndagwurugwu
nor,ma ha
double,mkpi
seat,okwa
arrive,ilota
master,nna ukwu
track,trakt
parent,nne na nna
shore,onummiri
division,nkewa
sheet,akwandina
substance,umi
favor,mmenyere
connect,ijiko
post,osisi
spend,imefuego
chord,mmagba
fat,abuba
glad,obiuto
original,nke mbido
share,ike
station,ebe ugboigwe na-ano
dad,nna
bread,achicha
charge,ijali
proper,kwesiri ekwesi
bar,mgbochi
offer,mmere
segment,nke
slave,ohu nwaanyi
duck,ọbọgwụ
instant,ozugbonje
market,ahia
degree,digirii
populate,roputa
chick,igbu gburu aja
dear,nke oma
enemy,onye iro
reply,iza
drink,inu
occur,ino
support,onyenjideaka
speech,okwuonu
nature,agwa
range,renji
steam,uzuoku
motion,ukporo
path,uzo ndiji ukwu eje
liquid,kemmiri
log,loogu
meant,putara
quotient,isi ihe
teeth,ezé
shell,shei
neck,olu
ask,iju
need,mkpa
too,kwa
feel,imetuta
three,ato
state,onodu
never,emeghi
between,n'etiti
high,keelu
really,nke nsiridi
something,a
most,ufodu
another,keozo
much,ukwuu
family,ezi na ulo
own,nke
leave,ipa ihapu
put,dote
old,ika nka
while,mgbe
mean,putara
keep,idebe
student,nwaakwuko nwoke
why,gini
let,ikwere
great,keuwu
same,nke ibuotu
big,nnukwu
group,otu
begin,ibido
seem,idika
country,obodo
help,Enyemaka
talk,ikwu
where,ebe
turn,okporouzo
problem,nsogbu
every,obula
start,ibido inya moto
hand,aka
might,ike
American,Onye Amerika
show,izi
part,nkewa
against,mbuso
place,dowe
such,dika
again,ozo
few,obere
case,akpati
week,wiik
company,nsoro
system,sistem
each,otu n'ime
right,nke imete
program,atumatu
hear,inu ihe
question,ajuju
during,n'oge
play,gwuria
government,ochuchu
run,igbaoso
small,nke ntakiri
number,onuogugu
off,igbanyu
always,mgbe dum
move,inoghari
night,uchichi
live,kendu
Mr,M ukwu
point,onu
believe,ikwe ekwe
hold,ijide
today,taa
bring,iwete
happen,ime eme
next,Osote
without,n'akuku
before,tupu
large,keibu
million,nde
must,ga
home,ulo
under,n'okpuru
water,mmiri
room,mkpuru
write,ide dee
mother,nne
area,uzo
national,nkeobodo
money,ego
story,akukoifo
young,keetghieto
fact,mmereme
month,otu onwa n'ime ato
different,ndiiche
lot,otutu
study,imu
book,akwukwo
eye,anya
job,oru
word,mkpuruokwu
though,doo
business,ahia ozuzu
issue,inye
side,akuku
kind,keobioma
four,ano
head,isi
far,kento aka
black,oji
long,keogologo
both,ha abuo
little,keobere
house,ulo
yes,okwukwe
since,kemgbe
provide,weta
service,nnyemaka
around,n'uzo
friend,enyi
important,keuru
father,nna
sit,inodu
away,opupu
until,tutuu
power,ike
hour,oge
game,egwuruegwu
often,otutu mgbe
yet,ma
line,akara
political,nke ochichi
end,nkwusi
among,n'etiti
ever,mgbedum
stand,guzo
bad,ajo
lose,ida
however,mana
member,otu
pay,ugwo
law,iwu
meet,zuko
car,obere ugboala
city,obodo
almost,ofokwa
include,isonye
continue,isochi
set,set
later,n'ikeazu
community,obodo
name,aha
five,ise
once,otu mgbe
white,ucha
least,kacha peempe
president,onye ochichi ala
learn,imu ihe
real,nke anyahuru
change,igbanwe
team,tim
minute,nke ntakiri
best,okacka mma
several,otutu
idea,echiche
kid,nwata
body,ahu
information,ihe ogwugwa
nothing,ihe efu
ago,oge gara aga
lead,izizi
social,nke otu
understand,ighota
whether,ma
watch,mgbe
together,otuebe
follow,iso
parent,nne na nna
stop,Kwụsị
face,ihu
anything,ihe obula
create,ike
public,nke oha
already,ugbua
speak,kwuo
others,ndi ozo
read,guo
level,ukelarii
allow,ikwere
add,igbako
office,onodu
spend,imefuego
door,uzo
health,ahu ike
person,onye
art,nka
sure,nke ndabere
war,agha
history,aguguala
party,otu
within,nime
grow,ibu ibu
result,rizootu
open,meghe
morning,ututu
walk,iga
reason,ucheobi
low,kediala
win,imeri
research,resaachi
girl,nwata nwaanyi
guy,ndi mmadu
early,n'oge
food,nri
moment,ogenta
himself,onwegh
air,ikuku
teacher,onyenkuzi nwoke
force,ike ike
offer,mmere
enough,izu oke
education,mmuta
across,uhie
although,n'agbanyego
remember,icheta
foot,ukwu
second,sekon
boy,nwata nwoke
maybe,enwere ike
toward,iji
able,inwe ike
age,igba afo
policy,amuma agwa
everything,ihe obula
love,ihunaanya
process,otu esi emeputa ihe
music,uneghune
including,na nsonye
consider,itule
appear,iputa
actually,n'eziokwu
buy,izu
probably,inwe ike ime
human,mmadu
wait,chere
serve,ijeozi
market,ahia
die,inwu
send,zipu
expect,n'obi
sense,uche
build,iru
stay,nodu
fall,ida ada
oh,ooh
nation,ala
plan,plan
cut,igbuji
college,koleeji
interest,mmasi
death,onwu
course,koosu
someone,mmadu
experience,ahumihe
behind,azu
reach,rute
local,ebeulo
kill,igbu
six,isii
remain,inoro
effect,mputara
yeah,ee
suggest,ịkwaego
class,udi
control,ike nchikota
raise,inako ego
care,nlezi
perhaps,eleghi anya
late,abiaghi n'oge
hard,siri ike
field,fiilidi
else,ozo
pass,gaa njem
former,kembu
sell,ree
major,mejo
sometimes,mgbeufodu
require,icho
along,gologo uzo
development,mmepe
report,repot
role,oru
better,nke ka mma
economic,ekonomik
effort,mbo
decide,ikpebi
rate,egoahia
strong,ike
possible,ipu omume
heart,obi
drug,ogwu
leader,onye ochichi
light,kemfe
voice,olu
wife,nwunye
whole,keuju
police,ndi uweojii
mind,uche
finally,n'ikpaazu
pull,Dọọ
return,ibia
free,inwere enwe
military,ami
price,ego ozuzu
less,Mpekarị
according,dika
decision,mkpebi
explain,ikowa
son,nwanwoke
hope,nchekwube
develop,imepe
view,ucheobi
relationship,ndi mmekorita
carry,ibu
town,obodo
road,okporouzo
drive,inya
arm,mpata ukwu
TRUE,Ke eziokwu
federal,keetiti
break,ezumike
difference,ndimiiche
thank,ikele
receive,naputa
value,baa uru
international,ozuruuwa
building,ulo
action,emereme
full,juju
model,mogosi
join,iso
season,sizen
society,otu
tax,tax
director,daireto
position,okwa
player,onye ejije nwoke
agree,ikwere
especially,tumadu
record,ndeko ego
pick,ghota
wear,yiri
paper,akwukwo
special,nke puruiche
space,eluuwa
ground,ala
form,odidi
support,onyenjideaka
event,mmeeme
official,nke okwa
whose,onye
matter,okwu
everyone,onye obula
center,etiti
couple,di na nwunye
site,sanet
project,arumaru
hit,iti
base,isi
activity,mmume
star,kpakpondo
table,okpokoro
court,kootu
produce,mepụta
eat,iri
teach,izi
oil,ite mmanu
half,keokara
situation,onodu
easy,mfe
cost,ida onu
industry,ndostri
figure,odidi ahu
street,striit
image,oyiyi
itself,ofu
phone,Ekwentị
either,ma obu
data,data
cover,mkpuchi
quite,ezi
picture,esemese
clear,agwa idiocha
practice,omume
piece,ibe
land,nlodata
recent,ohuru
describe,ikowa
product,ihe emeputara ohuru
doctor,dibia bekee
wall,mgbaaja
patient,inwe ndidi
worker,onyeoru nwoke
news,ububo
test,inwa
movie,muvi
certain,keamaaama
north,ugwu
personal,nke mmadu
simply,maka imeidonaya
third,nke ato
technology,teknoloji
catch,gbute
step,izo
baby,nwata
computer,komputa
type,udi
attention,ige nti
draw,ise
film,fiim
Republican,Repoblican
tree,osisi
source,nsiputa
red,uhie
nearly,oforontakiri
organization,oganizashion
choose,ihoro
cause,mkpatara
hair,aji ahu
century,nariafo
evidence,akaebe
window,windo
difficult,isiike
listen,ige nti
soon,ogeeteghianya
culture,omenaala
billion,njeri
chance,oge
brother,nwanne nwoke
energy,ike
period,oge
summer,soma
realize,mgbanuuche
hundred,nari
available,kediadi
plant,kuo
likely,kwesiri
opportunity,ndaba
term,tem
short,mkpirisi
letter,leta
condition,onodu
choice,mmasi
single,otu
rule,iwu
daughter,nwa nwaanyi
administration,ochichi
south,ndida
husband,di
Congress,Nzuko
floor,ala ulo
campaign,kampeenu
material,mgwooru
population,nguputa mmadu
economy,aku
medical,keogwu
hospital,ulo ogwu
church,uka
close,mechie
thousand,puku
risk,ihe na-eweta njo
current,korenti mmiri
fire,oku
future,odiniihu
wrong,keadabaghi
involve,ighasa
defense,ozize
anyone,onye obula
increase,mmubanye
security,onye akaebe
bank,ulo aku
myself,enwe kwa
certainly,amaaama
west,odida anyanwu
sport,egwuregwu
board,iba
seek,choo
per,par
subject,sobjekiti
officer,okwa soja
private,abughi nke oha
rest,nzuike
behavior,agwa
deal,mmesiike
performance,emume ngosi
fight,ogu
throw,itu
top,elu ugwu
past,agafego
goal,ebumnobi
bed,akwa
order,usoro oru
author,odee
fill,imeju
represent,inochi
focus,ike ele anya
foreign,forin
drop,idebe
blood,obara
upon,n'elu
agency,ulo ozi
push,Kwaa
nature,agwa
color,agba
recently,oge na-adighi anya
store,storaji
reduce,medata
sound,uda
note,dee
fine,iwu
near,nso
movement,ije
page,ihuakwukwo
enter,iba
share,ike
common,komon
